Region,Value
East Asia & Pacific,31.59166667
Europe & Central Asia,24.82121212
Latin America & Caribbean,23.77083333
Middle East & North Africa,27.3
North America,15.2
South Asia,21.33333333
Sub-Saharan Africa,34.73125
