Region,Value
East Asia & Pacific,33.6
Europe & Central Asia,13.85625
Latin America & Caribbean,21.95416667
Middle East & North Africa,14.86
North America,10.8
South Asia,55.13333333
Sub-Saharan Africa,21.33333333
